Activity Date,Process Date,Settle Date,Account Type,Instrument,Description,Trans Code,Quantity,Price,Amount,Suppressed,Running Balance
02/03/2023,02/03/2023,02/06/2023,Margin,--,Option Expiration for DLTR 2023-02-03 call $165.00,OEXP,2S,,--,N,$412.48
02/03/2023,02/03/2023,02/06/2023,Margin,--,Option Expiration for DLTR 2023-02-03 call $160.00,OEXP,10S,,--,N,$412.48
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-5,$0.02,$9.98,N,$412.48
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-2,$0.02,$3.98,N,$402.50
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-1,$0.02,$1.98,N,$398.52
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-8,$0.02,$15.97,N,$396.54
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-13,$0.02,$25.96,N,$380.57
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-1,$0.02,$1.98,N,$354.61
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-14,$0.02,$27.96,N,$352.63
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-1,$0.02,$1.98,N,$324.67
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-43,$0.02,$85.89,N,$322.69
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-1,$0.02,$1.98,N,$236.80
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-2,$0.02,$3.98,N,$234.82
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,STC,-9,$0.02,$17.97,N,$230.84
02/03/2023,02/03/2023,02/06/2023,Margin,META,META 2023-02-03 Call $195.00,BTO,100,$0.05,($500.00),N,$212.87
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Put $104.00,STC,-14,$0.45,$629.95,N,$712.87
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Put $104.00,STC,-1,$0.45,$44.98,N,$82.92
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Put $104.00,BTO,1,$0.29,($29.00),N,$37.94
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Put $104.00,BTO,2,$0.29,($58.00),N,$66.94
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Put $104.00,BTO,5,$0.29,($145.00),N,$124.94
